Section,Subject,Name,ID,Home Tuition (Y/N),Class,Roll Number,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Focus (0-10),Homework (0-10),Q&A (0-10),Doubt Asking Rate,Exam Prep (0-10),Special Problems Completion (%)
a,maths,kunwar bansal,8_a_1,y,-1.4722608149683138,-1.4806387978305091,-0.15372821944902598,0.554545201359614,1.6740680775593062,0.13067918095936262,0.6157234426507074,1.4877606809375743,-0.01371917867097296,1.7218613187719105,-1.4959658425299278,1.2668606022000866
a,science,kunwar bansal,8_a_1,n,-1.4722608149683138,-1.4806387978305091,-0.058485179325718666,-0.12385878299409073,-0.07669901185567155,-1.5657645475191828,-0.6879218540477211,-1.5661535690511235,-1.5631793579808706,-0.9333869313909581,1.540473170322482,1.5604510454221063
a,social,kunwar bansal,8_a_1,y,-1.4722608149683138,-1.4806387978305091,0.8939452219073545,1.1198818549877014,-1.319178881763075,-0.378253937584201,-1.1224702862805307,0.17894028808527526,0.37364586615650147,-0.17474457420156703,-1.4959658425299278,0.19036231038601384
a,english,kunwar bansal,8_a_1,n,-1.4722608149683138,-1.4806387978305091,-1.2966447009287136,0.4980115359968053,1.6175917198362424,-1.2264758018234736,-1.5570187185133402,0.6152137523693749,-1.1758143131533962,1.3425401401772152,-0.6284118388578107,-1.7179755705571151
a,hindi,kunwar bansal,8_a_1,y,-1.4722608149683138,-1.4806387978305091,-0.9156725404354844,-0.9153300980734129,-0.8108916622555009,-0.9437351804103827,1.050271874883517,1.0514872166534746,-0.40108422349844736,-0.17474457420156703,1.540473170322482,-1.5711803489461051
a,arts,kunwar bansal,8_a_1,y,-1.4722608149683138,-1.4806387978305091,1.5606465027705057,-1.1414647595246479,-1.0367970931477561,0.35687167808983533,0.18117501041789796,-1.1298801047670237,-1.1758143131533962,-0.17474457420156703,-0.6284118388578107,0.7286114562930502
a,maths,siddharth sidhu,8_a_2,n,-1.4722608149683138,-1.4805684820781309,-1.4871307811753283,-1.084931094161839,1.2222572157747957,0.01758293239412627,-0.6879218540477211,-1.1298801047670237,-1.1758143131533962,-0.17474457420156703,-0.19463483702175213,-1.1307946841130754
a,science,siddharth sidhu,8_a_2,n,-1.4722608149683138,-1.4805684820781309,0.7987021817840472,0.554545201359614,1.3352099312209234,-1.056831428975619,0.6157234426507074,-0.2573331761988244,0.7610109109839759,-1.6920292885803492,-1.0621888406938693,0.532884494145037
a,social,siddharth sidhu,8_a_2,n,-1.4722608149683138,-1.4805684820781309,0.4177300212908179,-0.9718637634362217,-0.4720335159171181,1.6009304123074353,0.6157234426507074,-0.2573331761988244,-0.01371917867097296,-0.9333869313909581,1.1066961684864236,0.04356708877500391
a,english,siddharth sidhu,8_a_2,y,-1.4722608149683138,-1.4805684820781309,0.4177300212908179,-0.067325117631282,-0.07669901185567155,-1.4526682989539463,-1.1224702862805307,1.4877606809375743,-1.1758143131533962,-1.3127081099856535,1.540473170322482,1.5604510454221063
a,hindi,siddharth sidhu,8_a_2,n,-1.4722608149683138,-1.4805684820781309,0.036757860797588644,1.6852185086157887,1.5046390043901148,0.8658047966333989,-1.1224702862805307,0.17894028808527526,-1.1758143131533962,1.3425401401772152,0.672919166650365,0.04356708877500391
a,arts,siddharth sidhu,8_a_2,n,-1.4722608149683138,-1.4805684820781309,0.8939452219073545,0.780679862810849,0.4315882076519026,-1.6223126718018008,0.6157234426507074,-0.2573331761988244,-0.01371917867097296,0.5838977829878238,-0.19463483702175213,-1.1797264246500787
a,maths,ishita balakrishnan,8_a_3,n,-1.4722608149683138,-1.4804981663257526,-0.15372821944902598,-1.1979984248874567,-0.3590808004709905,1.7140266608726715,-1.5570187185133402,-1.5661535690511235,-1.5631793579808706,-1.3127081099856535,-1.4959658425299278,0.14143056984901053
a,science,ishita balakrishnan,8_a_3,n,-1.4722608149683138,-1.4804981663257526,-1.2014016608054063,-0.4065271098081344,-1.1497498085938838,0.13067918095936262,-1.5570187185133402,-0.6936066404829241,-1.5631793579808706,1.3425401401772152,-1.0621888406938693,0.43502101307103036
a,social,ishita balakrishnan,8_a_3,y,-1.4722608149683138,-1.4804981663257526,1.1796743422772764,0.9502808588992752,0.8269227117133492,1.0354491694812535,0.6157234426507074,1.0514872166534746,-0.7884492683259218,0.20457660439312841,0.672919166650365,-1.7179755705571151
a,english,ishita balakrishnan,8_a_3,n,-1.4722608149683138,-1.4804981663257526,0.4177300212908179,0.4980115359968053,-0.18965172730179913,0.07413105667674445,0.18117501041789796,1.4877606809375743,-0.40108422349844736,-0.17474457420156703,-0.19463483702175213,-1.1797264246500787
a,hindi,ishita balakrishnan,8_a_3,y,-1.4722608149683138,-1.4804981663257526,0.7034591416607399,1.6852185086157887,0.03625370359045605,1.0919972937638716,0.6157234426507074,-1.1298801047670237,-0.40108422349844736,-0.5540657527962625,-1.4959658425299278,-0.8372042408910556
a,arts,ishita balakrishnan,8_a_3,y,-1.4722608149683138,-1.4804981663257526,-0.2489712595723333,-1.5937340824271178,-0.9238443777016285,0.6961604237855444,1.050271874883517,-0.2573331761988244,-0.40108422349844736,-1.6920292885803492,-1.4959658425299278,-0.39681857605802584
a,maths,kriti agrawal,8_a_4,n,-1.4722608149683138,-1.4804278505733741,1.2749173824005837,-1.3675994209758828,-1.1497498085938838,1.0354491694812535,0.18117501041789796,0.6152137523693749,-1.1758143131533962,-1.3127081099856535,0.672919166650365,-0.34788683552102256
a,science,kriti agrawal,8_a_4,n,-1.4722608149683138,-1.4804278505733741,0.32248698116751057,-0.8022627673477956,1.6175917198362424,1.4878341637421988,0.6157234426507074,-0.2573331761988244,0.7610109109839759,0.9632189615825197,-0.19463483702175213,0.8754066779040601
a,social,kriti agrawal,8_a_4,n,-1.4722608149683138,-1.4804278505733741,0.9891882620306618,-1.7068014131527351,1.2787335734978595,0.4699679266550717,1.050271874883517,-1.5661535690511235,-1.5631793579808706,1.3425401401772152,-0.6284118388578107,-1.7179755705571151
a,english,kriti agrawal,8_a_4,y,-1.4722608149683138,-1.4804278505733741,0.7987021817840472,-0.2934597790825169,0.9963517848825406,0.6961604237855444,-1.5570187185133402,0.17894028808527526,-0.01371917867097296,-1.3127081099856535,-1.4959658425299278,-0.15215987337300932
a,hindi,kriti agrawal,8_a_4,y,-1.4722608149683138,-1.4804278505733741,1.1796743422772764,0.6676125320852315,-0.6979389468093733,1.1485454180464898,1.4848203071163266,1.4877606809375743,1.5357410006389247,0.20457660439312841,-0.6284118388578107,-0.005364651761999396
a,arts,kriti agrawal,8_a_4,y,-1.4722608149683138,-1.4804278505733741,-0.6299434200655625,-0.2369261137197082,0.14920641903658363,1.6009304123074353,-1.5570187185133402,-1.5661535690511235,-0.7884492683259218,-0.5540657527962625,-1.4959658425299278,-0.10322813283600601
